video_id,comment_id,author,parent
pHSb00vip60,UgzHOed43Yf3zZ-lpVt4AaABAg,@ChiKim-l7m5q,
pHSb00vip60,UgweYvDrFYZVuxo8c_R4AaABAg,@hoangoannhvpp5389,
pHSb00vip60,Ugw8BgTFd0W15dflNu54AaABAg,@mochinef,
pHSb00vip60,UgzZtQvmEBQxOZ49Qex4AaABAg,@NhiDuong-cy3pw,
pHSb00vip60,Ugxi3ERW6Xw57sd3Z514AaABAg,@hoanghuy-ff1uj,
pHSb00vip60,UgzE7XmLOe6k40zIJ6h4AaABAg,@Trinh-rq3kk,
pHSb00vip60,UgxG9wBELO7-Lo2hXtV4AaABAg,@user-um4kj6pn7d,
pHSb00vip60,UgxG9wBELO7-Lo2hXtV4AaABAg.APrf6unbSeoAPrrMYDi3e9,@kemanhrang7448,@user-um4kj6pn7d
pHSb00vip60,UgxG9wBELO7-Lo2hXtV4AaABAg.APrf6unbSeoAPtcswsX8vS,@diamondsport3733,@user-um4kj6pn7d
pHSb00vip60,UgwV6i6NxPpJhFWhfa94AaABAg,@BảoTrânCaoThị-h1u,
pHSb00vip60,UgxuK25UwnUbiTsjPaB4AaABAg,@DuyHuỳnh-v9m1k,
pHSb00vip60,UgzL7PJPogfVCACtLnl4AaABAg,@minhhtamm382,
pHSb00vip60,UgwPSFLKTV-8adlcO0t4AaABAg,@trongma7986,
pHSb00vip60,UgwfUsKbC215KV84aAR4AaABAg,@hoangchanvlog2303,
pHSb00vip60,Ugw3yDEOLTRNsPOHI414AaABAg,@huyềnphạm-y1f,
pHSb00vip60,Ugzjn5LIC_REK1JazIt4AaABAg,@PiiThi,
pHSb00vip60,UgwkSOONfOYxolZfdr14AaABAg,@HuyTran-y1u,
pHSb00vip60,UgzDEaDyN4uZxpq6ILt4AaABAg,@tranhoanglonghecker,
pHSb00vip60,UgzIrBpZoyIY4cl5fH54AaABAg,@lyduong6768,
pHSb00vip60,UgyhyE_u30x5Wq5bAGp4AaABAg,@QuyNgọc-t2b,
pHSb00vip60,UgwqxUk4_KFc3eOQ4NN4AaABAg,@TùngNguyễnĐức-j2b,
pHSb00vip60,Ugzc66amd6SI5UzA-S54AaABAg,@MinhQuânTrần-l1y,
pHSb00vip60,UgzKamHt24GSIvdsxKt4AaABAg,@loctrantran3182,
pHSb00vip60,Ugxq0CKhYox4WyKOK8t4AaABAg,@ĐạtNguyễn-g3p3h,
pHSb00vip60,UgwCUd7Jr_-yhX0QNrt4AaABAg,@tongtrieu77,
pHSb00vip60,UgxJkgHxWwBCZ0PFJdp4AaABAg,@TứLê-b8s,
pHSb00vip60,UgzFjdILMWk_GbOqIE14AaABAg,@QUÁBÁOVLOG,
pHSb00vip60,UgwTk9eNtBL3BFUhw9Z4AaABAg,@TrungHà-l4k,
pHSb00vip60,Ugz0iRSgRO1RLTXvaMZ4AaABAg,@phuquynguyenvan497,
pHSb00vip60,Ugz2TaOf52ekmqQuY_94AaABAg,@huyphatnguyen1252,
pHSb00vip60,UgzPea0XuK-cNZVsCpZ4AaABAg,@levo5990,
pHSb00vip60,UgxV_psam4Mp90-SjRd4AaABAg,@sonbui8514,
pHSb00vip60,UgxN_xr8dnPxOPEabc54AaABAg,@hellominhlalan,
pHSb00vip60,UgxfeN2tiWmxFxcWJ8R4AaABAg,@QuânHoàng-b2o,
pHSb00vip60,UgzZDQV1lm1tLS5hqTx4AaABAg,@tunnn2202,
pHSb00vip60,UgwJEf7g9fqWGdi1WOJ4AaABAg,@tamechoigame,
pHSb00vip60,Ugy91hwVBIBkZ8Mbuuh4AaABAg,@LinhNhật-p2m,
pHSb00vip60,UgzrmkMvz9OaU5GIG_l4AaABAg,@NguyễnTuấnKiệt-g5c,
pHSb00vip60,UgzrmkMvz9OaU5GIG_l4AaABAg.APqEsAOfulNAPrqZunCwEI,@kemanhrang7448,@NguyễnTuấnKiệt-g5c
