Address,Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,City,District,Area_bin,Area_bin_order,Frontage_bin,Frontage_bin_order,Access_Road_bin,Access_Road_bin_order,Floors_bin,Floors_bin_order,Bedrooms_bin,Bedrooms_bin_order,Bathrooms_bin,Bathrooms_bin_order,Total_Room,Total_Room_bin,Total_Room_order
"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",78.7,4.0,6.0,5.0,4,5,Have certificate,No furnishings,5.5,Hồ Chí Minh,Bình Tân,60–80,3,2–4,1,5–7,3,5–7,3,3–4,2,5–8,3,9,8–11,3
"Đường 17, Phường Tân Hiệp, Tân Uyên, Bình Dương",67.5,4.4,5.0,1.0,1,1,Sale contract,No furnishings,2.18,Bình Dương,Tân Uyên,60–80,3,4–6,2,3–5,2,1–2,1,1–2,1,1–2,1,2,2–4,1
"Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",72.0,4.0,5.0,2.0,4,4,Have certificate,Full,6.7,Hồ Chí Minh,Tân Phú,60–80,3,2–4,1,3–5,2,1–2,1,3–4,2,3–4,2,8,8–11,3
"Đường Đê Mới, Xã Phụng Châu, Chương Mỹ, Hà Nội",60.0,4.0,3.0,4.0,4,3,Have certificate,Basic,2.65,Hà Nội,Chương Mỹ,40–60,2,2–4,1,2–3,1,3–4,2,3–4,2,3–4,2,7,5–7,2
"Phố Lò Đúc, Phường Đống Mác, Hai Bà Trưng, Hà Nội",36.0,4.0,3.0,5.0,4,4,Have certificate,Basic,6.0,Hà Nội,Hai Bà Trưng,20–40,1,2–4,1,2–3,1,5–7,3,3–4,2,3–4,2,8,8–11,3
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",78.0,5.0,2.0,3.0,3,3,Have certificate,Full,5.8,Hà Nội,Thanh Trì,60–80,3,4–6,2,2–3,1,3–4,2,3–4,2,3–4,2,6,5–7,2
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",132.0,4.0,8.0,2.0,3,2,Sale contract,No furnishings,7.0,Hồ Chí Minh,Quận 7,120–160,5,2–4,1,7–9,4,1–2,1,3–4,2,1–2,1,5,5–7,2
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",102.0,5.5,3.0,1.0,2,1,Have certificate,No furnishings,6.8,Hồ Chí Minh,Quận 7,80–120,4,4–6,2,2–3,1,1–2,1,1–2,1,1–2,1,3,2–4,1
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",101.0,7.1,2.5,3.0,4,3,Have certificate,No furnishings,6.6,Hồ Chí Minh,Quận 7,80–120,4,6–8,3,2–3,1,3–4,2,3–4,2,3–4,2,7,5–7,2
"Đường Số 8, Phường 11, Gò Vấp, Hồ Chí Minh",81.0,8.0,8.0,1.0,1,1,Sale contract,No furnishings,5.8,Hồ Chí Minh,Gò Vấp,80–120,4,6–8,3,7–9,4,1–2,1,1–2,1,1–2,1,2,2–4,1
"Đường Tân Kỳ Tân Quý, Phường Tân Quý, Tân Phú, Hồ Chí Minh",62.0,4.0,8.0,4.0,6,4,Have certificate,No furnishings,6.9,Hồ Chí Minh,Tân Phú,60–80,3,2–4,1,7–9,4,3–4,2,5–8,3,3–4,2,10,8–11,3
"Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",143.0,5.0,6.0,4.0,4,4,Have certificate,Full,9.3,Hồ Chí Minh,Gò Vấp,120–160,5,4–6,2,5–7,3,3–4,2,3–4,2,3–4,2,8,8–11,3
"Phường Thạch Bàn, Long Biên, Hà Nội",33.0,4.5,2.5,5.0,3,4,Have certificate,Full,4.15,Hà Nội,Long Biên,20–40,1,4–6,2,2–3,1,5–7,3,3–4,2,3–4,2,7,5–7,2
"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",83.6,5.0,3.0,4.0,4,5,Have certificate,No furnishings,8.6,Hồ Chí Minh,Quận 7,80–120,4,4–6,2,2–3,1,3–4,2,3–4,2,5–8,3,9,8–11,3
"Số 7H/15/351, Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",56.0,4.8,3.0,6.0,4,4,Have certificate,No furnishings,5.3,Hà Nội,Tây Hồ,40–60,2,4–6,2,2–3,1,5–7,3,3–4,2,3–4,2,8,8–11,3
"Ngõ 18, Đường Ngô Quyền, Phường Quang Trung, Hà Đông, Hà Nội",55.0,4.0,5.0,5.0,6,5,Have certificate,Full,8.3,Hà Nội,Hà Đông,40–60,2,2–4,1,3–5,2,5–7,3,5–8,3,5–8,3,11,8–11,3
"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",65.0,4.0,8.0,4.0,4,5,Sale contract,No furnishings,4.2,Hồ Chí Minh,Quận 12,60–80,3,2–4,1,7–9,4,3–4,2,3–4,2,5–8,3,9,8–11,3
"Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",60.0,3.5,5.0,4.0,4,2,Have certificate,No furnishings,4.3,Hà Nội,Hoàng Mai,40–60,2,2–4,1,3–5,2,3–4,2,3–4,2,1–2,1,6,5–7,2
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",60.0,4.0,2.0,3.0,3,3,Have certificate,No furnishings,4.7,Hà Nội,Thanh Trì,40–60,2,2–4,1,2–3,1,3–4,2,3–4,2,3–4,2,6,5–7,2
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",70.0,4.8,3.0,5.0,5,4,Sale contract,No furnishings,6.9,Hà Nội,Long Biên,60–80,3,4–6,2,2–3,1,5–7,3,5–8,3,3–4,2,9,8–11,3
"Đường An Dương Vương, Phường 10, Quận 6, Hồ Chí Minh",66.0,4.0,12.0,4.0,5,3,Have certificate,No furnishings,8.95,Hồ Chí Minh,Quận 6,60–80,3,2–4,1,lớn hơn 9,5,3–4,2,5–8,3,3–4,2,8,8–11,3
"Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",74.0,4.0,4.0,2.0,4,3,Have certificate,Full,6.83,Hồ Chí Minh,Tân Phú,60–80,3,2–4,1,3–5,2,1–2,1,3–4,2,3–4,2,7,5–7,2
"Hẻm 701, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",45.0,4.4,5.0,2.0,2,2,Have certificate,No furnishings,4.4,Hồ Chí Minh,Quận 7,40–60,2,4–6,2,3–5,2,1–2,1,1–2,1,1–2,1,4,2–4,1
"Phường Thạch Bàn, Long Biên, Hà Nội",70.0,5.1,3.0,4.5,4,4,Have certificate,Basic,6.8,Hà Nội,Long Biên,60–80,3,4–6,2,2–3,1,3–4,2,3–4,2,3–4,2,8,8–11,3
"Đường Phố Trạm, Phường Thạch Bàn, Long Biên, Hà Nội",48.0,4.4,2.5,4.0,5,1,Have certificate,Basic,6.4,Hà Nội,Long Biên,40–60,2,4–6,2,2–3,1,3–4,2,5–8,3,1–2,1,6,5–7,2
"Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",56.1,4.2,5.0,4.0,4,3,Have certificate,No furnishings,6.3,Hồ Chí Minh,Thủ Đức,40–60,2,4–6,2,3–5,2,3–4,2,3–4,2,3–4,2,7,5–7,2
"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",40.0,3.8,2.0,5.0,3,4,Sale contract,No furnishings,7.48,Hà Nội,Hoàng Mai,20–40,1,2–4,1,2–3,1,5–7,3,3–4,2,3–4,2,7,5–7,2
"Xã Đông La, Hoài Đức, Hà Nội",36.5,3.6,4.0,6.0,3,4,Have certificate,Basic,4.1,Hà Nội,Hoài Đức,20–40,1,2–4,1,3–5,2,5–7,3,3–4,2,3–4,2,7,5–7,2
"Phường Thạch Bàn, Long Biên, Hà Nội",36.0,4.75,3.0,4.0,3,4,Have certificate,No furnishings,7.49,Hà Nội,Long Biên,20–40,1,4–6,2,2–3,1,3–4,2,3–4,2,3–4,2,7,5–7,2
"Đường Trương Phước Phan, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",64.0,4.0,6.0,5.0,4,5,Have certificate,Basic,6.7,Hồ Chí Minh,Bình Tân,60–80,3,2–4,1,5–7,3,5–7,3,3–4,2,5–8,3,9,8–11,3
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90.0,6.0,12.0,2.0,3,2,Have certificate,No furnishings,3.2,Long An,Bến Lức,80–120,4,4–6,2,lớn hơn 9,5,1–2,1,3–4,2,1–2,1,5,5–7,2
"168/86// Đường Bình Trị Đông, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",96.0,5.5,5.0,2.0,5,5,Have certificate,Full,8.5,Hồ Chí Minh,Bình Tân,80–120,4,4–6,2,3–5,2,1–2,1,5–8,3,5–8,3,10,8–11,3
